split,family,method,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,best_C,best_cv_roc_auc,n_nonzero_coefs
rep1_fold4,Functional linear,Functional logistic regression (L2),0.8663494603953226,0.9193261007285398,0.35175879396984927,0.8660714285714286,0.7578125,0.9312638580931264,0.9182948490230906,0.8083333333333333,0.7973352866645551,0.005994842503189409,0.9137520398364932,343
rep1_fold4,Functional linear,Functional logistic regression (L1),0.8310424333173424,0.9147727272727272,0.4623115577889447,0.8392857142857143,0.752,0.9312638580931264,0.9129662522202486,0.7932489451476793,0.7705495723788407,0.046415888336127774,0.9096209156530797,41
rep1_fold4,Functional linear,Functional linear SVM,0.8700241686615581,0.9211276528349699,0.135678391959799,0.8660714285714286,0.7698412698412699,0.9356984478935698,0.9218472468916519,0.8151260504201681,0.8017698764649985,0.000774263682681127,0.9144454087507616,343
rep2_fold0,Functional linear,Functional logistic regression (L2),0.8524590295398279,0.9162879693853144,0.36180904522613067,0.7927927927927928,0.7272727272727273,0.9269911504424779,0.9005328596802842,0.7586206896551724,0.7197839432352708,0.005994842503189409,0.9169663958832622,343
rep2_fold0,Functional linear,Functional logistic regression (L1),0.8194131406535963,0.8985689229052062,0.3869346733668342,0.7837837837837838,0.7310924369747899,0.9292035398230089,0.9005328596802842,0.7565217391304347,0.7129873236067925,0.046415888336127774,0.9145487116174035,41
rep2_fold0,Functional linear,Functional linear SVM,0.8552937339111314,0.9189388503547796,0.11055276381909548,0.7927927927927928,0.7213114754098361,0.9247787610619469,0.8987566607460036,0.7553648068669528,0.7175715538547398,0.000774263682681127,0.917231853534882,343
rep2_fold1,Functional linear,Functional logistic regression (L2),0.9095043148867009,0.9386311089850912,0.4170854271356784,0.8918918918918919,0.8608695652173913,0.9646017699115044,0.9502664298401421,0.8761061946902655,0.8564936618033963,0.005994842503189409,0.904620816776813,343
rep2_fold1,Functional linear,Functional logistic regression (L1),0.8851174807800517,0.9346049589412421,0.46733668341708545,0.8558558558558559,0.8260869565217391,0.9557522123893806,0.9360568383658969,0.8407079646017699,0.8116080682452365,0.046415888336127774,0.9054076448760379,52
rep2_fold1,Functional linear,Functional linear SVM,0.91312388073534,0.939747269393287,0.16080402010050251,0.9009009009009009,0.8547008547008547,0.9623893805309734,0.9502664298401421,0.8771929824561403,0.8632902814318744,0.000774263682681127,0.9054959693734631,343
rep2_fold2,Functional linear,Functional logistic regression (L2),0.8079907472836242,0.8760294583465316,0.45226130653266333,0.7767857142857143,0.7909090909090909,0.9490022172949002,0.9147424511545293,0.7837837837837838,0.7257879315806144,0.046415888336127774,0.9241613682839823,343
rep2_fold2,Functional linear,Functional logistic regression (L1),0.8008464603646713,0.8713573012353499,0.4472361809045226,0.7767857142857143,0.7767857142857143,0.9445676274944568,0.911190053285968,0.7767857142857143,0.721353341780171,0.3593813663804626,0.9271344937528447,85
rep2_fold2,Functional linear,Functional linear SVM,0.8030575699440468,0.861023123218245,0.20100502512562815,0.7946428571428571,0.7876106194690266,0.9467849223946785,0.91651865008881,0.7911111111111111,0.7414277795375357,2.782559402207126,0.9255419347049412,343
rep2_fold3,Functional linear,Functional logistic regression (L2),0.8821571010044643,0.9296404814697499,0.35678391959798994,0.875,0.7903225806451613,0.9423503325942351,0.9289520426287744,0.8305084745762712,0.8173503325942351,0.005994842503189409,0.9117102833285576,343
rep2_fold3,Functional linear,Functional logistic regression (L1),0.8679285844474354,0.9334811529933481,0.46733668341708545,0.8660714285714286,0.8016528925619835,0.9467849223946785,0.9307282415630551,0.8326180257510729,0.8128563509661071,0.046415888336127774,0.907078523862741,42
