family,model_name,distance,method,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j,split
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.6996083970516975,0.8308619733924613,0.20603015075376885,0.7142857142857143,0.6504065040650406,0.9046563192904656,0.866785079928952,0.6808510638297872,0.6189420335761799,rep4_fold2
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.7001909659012412,0.8309807570478303,0.20603015075376885,0.7232142857142857,0.627906976744186,0.893569844789357,0.8596802841918295,0.6721991701244814,0.6167841305036426,rep4_fold2
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.7954564913203492,0.8796325625593918,0.22613065326633167,0.75,0.7706422018348624,0.9445676274944568,0.9058614564831261,0.7601809954751131,0.6945676274944568,rep4_fold2
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.4794916824282044,0.7032289356984478,0.21608040201005024,0.4642857142857143,0.48598130841121495,0.8780487804878049,0.7957371225577264,0.4748858447488584,0.3423344947735192,rep4_fold2
Distance-based functional,centroid,euclidean,centroid + euclidean,0.5830121745594435,0.80157190370605,0.33668341708542715,0.7321428571428571,0.4632768361581921,0.7893569844789357,0.7779751332149201,0.5674740484429066,0.5214998416217926,rep4_fold2
Distance-based functional,centroid,cosine,centroid + cosine,0.581954976918474,0.8013541336712068,0.30150753768844224,0.7321428571428571,0.4606741573033708,0.7871396895787139,0.7761989342806395,0.5655172413793104,0.5192825467215711,rep4_fold2
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.6037585147756178,0.8211910041178334,0.32663316582914576,0.7410714285714286,0.51875,0.8292682926829268,0.8117229129662522,0.6102941176470589,0.5703397212543555,rep4_fold2
Distance-based functional,centroid,correlation,centroid + correlation,0.38598355601033807,0.6921721571111815,0.4120603015075377,0.6517857142857143,0.3067226890756303,0.6341463414634146,0.6376554174067496,0.41714285714285715,0.28593205574912894,rep4_fold2
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.7249097280114283,0.8629137630662022,0.3065326633165829,0.6607142857142857,0.6851851851851852,0.9246119733924612,0.872113676731794,0.6727272727272727,0.585326259106747,rep4_fold3
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.7255429771238711,0.8632305194805194,0.2814070351758794,0.6696428571428571,0.6944444444444444,0.926829268292683,0.8756660746003553,0.6818181818181818,0.5964721254355401,rep4_fold3
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.8035948973621934,0.8885611339879633,0.22613065326633167,0.7946428571428571,0.717741935483871,0.9223946784922394,0.8969804618117229,0.7542372881355932,0.7170375356350966,rep4_fold3
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.47973621743128597,0.6965473550839405,0.30150753768844224,0.38392857142857145,0.4673913043478261,0.8913525498891353,0.7904085257548845,0.4215686274509804,0.27528112131770666,rep4_fold3
Distance-based functional,centroid,euclidean,centroid + euclidean,0.507865118849176,0.7587503959455179,0.3768844221105528,0.6696428571428571,0.3768844221105528,0.7250554323725056,0.7140319715808171,0.48231511254019294,0.3946982895153628,rep4_fold3
Distance-based functional,centroid,cosine,centroid + cosine,0.5080148773509975,0.7587108013937283,0.3165829145728643,0.6607142857142857,0.37373737373737376,0.7250554323725056,0.7122557726465364,0.4774193548387097,0.38576971808679117,rep4_fold3
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.5499126546300465,0.782883275261324,0.3417085427135678,0.7142857142857143,0.41450777202072536,0.7494456762749445,0.7424511545293073,0.5245901639344263,0.4637313905606588,rep4_fold3
Distance-based functional,centroid,correlation,centroid + correlation,0.34067141805710216,0.6510334178017105,0.37185929648241206,0.7142857142857143,0.26058631921824105,0.49667405764966743,0.5399644760213144,0.3818615751789976,0.21095977193538173,rep4_fold3
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.7526911353037321,0.8703971333544503,0.3919597989949749,0.6696428571428571,0.7653061224489796,0.9490022172949002,0.8934280639431617,0.7142857142857143,0.6186450744377572,rep4_fold4
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.7529184674023846,0.8705159170098193,0.3919597989949749,0.6607142857142857,0.7789473684210526,0.9534368070953437,0.8952042628774423,0.714975845410628,0.6141510928096294,rep4_fold4
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.8229328266142288,0.9078634779854292,0.22110552763819097,0.8125,0.7711864406779662,0.9401330376940134,0.9147424511545293,0.7913043478260869,0.7526330376940134,rep4_fold4
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.5370406475284034,0.7415267659170098,0.25125628140703515,0.4732142857142857,0.5698924731182796,0.9113082039911308,0.8241563055062167,0.5170731707317073,0.38452248970541647,rep4_fold4
Distance-based functional,centroid,euclidean,centroid + euclidean,0.4990639543705608,0.7690251821349382,0.34673366834170855,0.7142857142857143,0.3686635944700461,0.6962305986696231,0.6998223801065719,0.48632218844984804,0.4105163129553375,rep4_fold4
Distance-based functional,centroid,cosine,centroid + cosine,0.4979282908266207,0.7687678175483053,0.3065326633165829,0.7142857142857143,0.365296803652968,0.6917960088691796,0.6962699822380106,0.48338368580060426,0.4060817231548939,rep4_fold4
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.5336624412028201,0.7989982578397212,0.33668341708542715,0.7142857142857143,0.42328042328042326,0.7583148558758315,0.7495559502664298,0.53156146179402,0.4726005701615459,rep4_fold4
Distance-based functional,centroid,correlation,centroid + correlation,0.33842562685390093,0.6552106430155211,0.4170854271356784,0.6875,0.2619047619047619,0.5188470066518847,0.5523978685612788,0.3793103448275862,0.20634700665188466,rep4_fold4
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.6945432311062049,0.8540420951925376,0.2562814070351759,0.6756756756756757,0.6637168141592921,0.915929203539823,0.8685612788632326,0.6696428571428571,0.5916048792154986,rep5_fold0
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.6949786860356073,0.8542214781152833,0.3165829145728643,0.6756756756756757,0.6756756756756757,0.9203539823008849,0.872113676731794,0.6756756756756757,0.5960296579765605,rep5_fold0
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.7654511999575295,0.884696643546201,0.3869346733668342,0.7477477477477478,0.7830188679245284,0.9491150442477876,0.9094138543516874,0.7649769585253456,0.6968627919955352,rep5_fold0
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.5125184419205798,0.7022841425496293,0.24120603015075376,0.42342342342342343,0.49473684210526314,0.8938053097345132,0.8010657193605684,0.4563106796116505,0.31722873315793665,rep5_fold0
Distance-based functional,centroid,euclidean,centroid + euclidean,0.5418649744994594,0.7656661085864626,0.3417085427135678,0.6846846846846847,0.36893203883495146,0.7123893805309734,0.7069271758436945,0.4794952681388013,0.39707406521565813,rep5_fold0
Distance-based functional,centroid,cosine,centroid + cosine,0.5416094599296991,0.7655265885354381,0.3065326633165829,0.6846846846846847,0.36893203883495146,0.7123893805309734,0.7069271758436945,0.4794952681388013,0.39707406521565813,rep5_fold0
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.573405306730671,0.7957625767360281,0.3316582914572864,0.7207207207207207,0.4371584699453552,0.7721238938053098,0.7619893428063943,0.54421768707483,0.49284461452603034,rep5_fold0
Distance-based functional,centroid,correlation,centroid + correlation,0.3513496513649001,0.6475125568045922,0.3919597989949749,0.6846846846846847,0.2676056338028169,0.5398230088495575,0.5683836589698046,0.3848101265822785,0.22450769353424205,rep5_fold0
Distance-based functional,weighted kNN,euclidean,weighted kNN + euclidean,0.7068725245656569,0.8213146775093678,0.22613065326633167,0.6576576576576577,0.6403508771929824,0.9092920353982301,0.8596802841918295,0.6488888888888888,0.5669496930558879,rep5_fold1
Distance-based functional,weighted kNN,cosine,weighted kNN + cosine,0.7071136367793838,0.8214541975603923,0.21608040201005024,0.6576576576576577,0.5703125,0.8783185840707964,0.8348134991119005,0.6108786610878661,0.5359762417284542,rep5_fold1
Distance-based functional,weighted kNN,seuclidean,weighted kNN + seuclidean,0.8104848799512543,0.8789563900183369,0.3919597989949749,0.7567567567567568,0.7924528301886793,0.9513274336283186,0.9129662522202486,0.7741935483870968,0.7080841903850754,rep5_fold1
Distance-based functional,weighted kNN,correlation,weighted kNN + correlation,0.5505522159828629,0.7182990512636531,0.22613065326633167,0.4864864864864865,0.5510204081632653,0.9026548672566371,0.8206039076376554,0.5167464114832536,0.38914135374312364,rep5_fold1
Distance-based functional,centroid,euclidean,centroid + euclidean,0.4951523622121681,0.7473291875946744,0.37185929648241206,0.7207207207207207,0.35714285714285715,0.6814159292035398,0.6891651865008881,0.47761194029850745,0.40213664992426046,rep5_fold1
Distance-based functional,centroid,cosine,centroid + cosine,0.4942200041825769,0.7471697361077893,0.31155778894472363,0.7207207207207207,0.35714285714285715,0.6814159292035398,0.6891651865008881,0.47761194029850745,0.40213664992426046,rep5_fold1
Distance-based functional,centroid,seuclidean,centroid + seuclidean,0.5485696017005387,0.78366419516862,0.32160804020100503,0.7567567567567568,0.3853211009174312,0.7035398230088495,0.7140319715808171,0.5106382978723404,0.46029657976560623,rep5_fold1
Distance-based functional,centroid,correlation,centroid + correlation,0.29257696073237804,0.6121143267160967,0.4271356783919598,0.6756756756756757,0.23734177215189872,0.4668141592920354,0.5079928952042628,0.351288056206089,0.14248983496771106,rep5_fold1
