Representation,J,Classifier,PR-AUC mean ± std,ROC-AUC mean ± std,Sensitivity mean ± std,Precision mean ± std,Specificity mean ± std,Accuracy mean ± std,F1 mean ± std,Youden J mean ± std
FPLS,1,knn,0.3750 ± 0.0441,0.6431 ± 0.0395,0.3803 ± 0.1035,0.4191 ± 0.1076,0.8491 ± 0.0739,0.7561 ± 0.0447,0.3780 ± 0.0534,0.2294 ± 0.0636
FPLS,2,knn,0.5969 ± 0.0478,0.8466 ± 0.0219,0.7195 ± 0.0596,0.5489 ± 0.0443,0.8513 ± 0.0377,0.8252 ± 0.0269,0.6207 ± 0.0384,0.5707 ± 0.0538
FPLS,3,knn,0.7209 ± 0.0392,0.8764 ± 0.0195,0.7448 ± 0.0461,0.6513 ± 0.0308,0.9011 ± 0.0125,0.8701 ± 0.0130,0.6942 ± 0.0316,0.6459 ± 0.0468
FPLS,5,knn,0.7685 ± 0.0339,0.8928 ± 0.0160,0.7767 ± 0.0346,0.7201 ± 0.0327,0.9249 ± 0.0120,0.8956 ± 0.0114,0.7467 ± 0.0263,0.7016 ± 0.0357
FPLS,10,knn,0.7655 ± 0.0333,0.8902 ± 0.0172,0.7724 ± 0.0312,0.7120 ± 0.0353,0.9223 ± 0.0127,0.8926 ± 0.0124,0.7405 ± 0.0277,0.6947 ± 0.0349
FPLS,15,knn,0.7656 ± 0.0328,0.8894 ± 0.0173,0.7745 ± 0.0316,0.7068 ± 0.0298,0.9202 ± 0.0106,0.8914 ± 0.0109,0.7387 ± 0.0251,0.6948 ± 0.0339
FPLS,1,linear_svm,0.4851 ± 0.0634,0.6963 ± 0.0559,0.4699 ± 0.0891,0.4432 ± 0.0477,0.8522 ± 0.0388,0.7764 ± 0.0235,0.4521 ± 0.0520,0.3221 ± 0.0697
FPLS,2,linear_svm,0.6661 ± 0.0455,0.8641 ± 0.0185,0.7434 ± 0.0422,0.5277 ± 0.0406,0.8336 ± 0.0275,0.8157 ± 0.0213,0.6159 ± 0.0317,0.5769 ± 0.0437
FPLS,3,linear_svm,0.7832 ± 0.0406,0.9066 ± 0.0165,0.7650 ± 0.0370,0.7023 ± 0.0373,0.9193 ± 0.0137,0.8887 ± 0.0141,0.7317 ± 0.0315,0.6843 ± 0.0413
FPLS,5,linear_svm,0.8700 ± 0.0304,0.9319 ± 0.0145,0.8283 ± 0.0337,0.7968 ± 0.0433,0.9470 ± 0.0144,0.9235 ± 0.0121,0.8113 ± 0.0272,0.7753 ± 0.0339
FPLS,10,linear_svm,0.8661 ± 0.0277,0.9315 ± 0.0137,0.8152 ± 0.0351,0.7738 ± 0.0549,0.9397 ± 0.0192,0.9151 ± 0.0154,0.7926 ± 0.0323,0.7550 ± 0.0361
FPLS,15,linear_svm,0.8656 ± 0.0271,0.9340 ± 0.0125,0.8238 ± 0.0341,0.7485 ± 0.0557,0.9300 ± 0.0212,0.9090 ± 0.0172,0.7829 ± 0.0341,0.7538 ± 0.0370
FPLS,1,lr,0.4851 ± 0.0634,0.6963 ± 0.0559,0.4699 ± 0.0891,0.4432 ± 0.0477,0.8522 ± 0.0388,0.7764 ± 0.0235,0.4521 ± 0.0520,0.3221 ± 0.0697
FPLS,2,lr,0.6650 ± 0.0461,0.8661 ± 0.0186,0.7516 ± 0.0417,0.5331 ± 0.0414,0.8351 ± 0.0303,0.8186 ± 0.0230,0.6225 ± 0.0326,0.5867 ± 0.0430
FPLS,3,lr,0.7833 ± 0.0405,0.9072 ± 0.0165,0.7663 ± 0.0422,0.7058 ± 0.0383,0.9205 ± 0.0142,0.8899 ± 0.0142,0.7340 ± 0.0328,0.6868 ± 0.0447
FPLS,5,lr,0.8693 ± 0.0304,0.9319 ± 0.0145,0.8344 ± 0.0318,0.7869 ± 0.0428,0.9434 ± 0.0146,0.9218 ± 0.0124,0.8091 ± 0.0272,0.7778 ± 0.0327
FPLS,10,lr,0.8683 ± 0.0281,0.9325 ± 0.0139,0.8213 ± 0.0311,0.7727 ± 0.0516,0.9392 ± 0.0181,0.9158 ± 0.0156,0.7952 ± 0.0330,0.7605 ± 0.0357
FPLS,15,lr,0.8681 ± 0.0274,0.9349 ± 0.0128,0.8283 ± 0.0363,0.7519 ± 0.0477,0.9312 ± 0.0183,0.9108 ± 0.0139,0.7869 ± 0.0279,0.7595 ± 0.0344
FPLS,1,weighted_knn,0.3748 ± 0.0402,0.6349 ± 0.0377,0.4232 ± 0.1204,0.3330 ± 0.0632,0.7725 ± 0.1007,0.7033 ± 0.0616,0.3579 ± 0.0437,0.1957 ± 0.0620
FPLS,2,weighted_knn,0.6221 ± 0.0488,0.8433 ± 0.0210,0.7617 ± 0.0624,0.4821 ± 0.0458,0.7927 ± 0.0511,0.7866 ± 0.0336,0.5874 ± 0.0333,0.5544 ± 0.0458
FPLS,3,weighted_knn,0.7522 ± 0.0387,0.8775 ± 0.0194,0.7623 ± 0.0443,0.6136 ± 0.0387,0.8800 ± 0.0220,0.8567 ± 0.0170,0.6787 ± 0.0303,0.6424 ± 0.0426
FPLS,5,weighted_knn,0.7948 ± 0.0332,0.8944 ± 0.0163,0.7606 ± 0.0378,0.7553 ± 0.0502,0.9379 ± 0.0175,0.9028 ± 0.0140,0.7565 ± 0.0303,0.6985 ± 0.0372
FPLS,10,weighted_knn,0.7926 ± 0.0333,0.8920 ± 0.0174,0.7598 ± 0.0374,0.7371 ± 0.0573,0.9314 ± 0.0199,0.8974 ± 0.0152,0.7465 ± 0.0312,0.6912 ± 0.0360
FPLS,15,weighted_knn,0.7921 ± 0.0335,0.8910 ± 0.0176,0.7591 ± 0.0341,0.7376 ± 0.0503,0.9319 ± 0.0186,0.8977 ± 0.0146,0.7468 ± 0.0294,0.6911 ± 0.0342
