method_family,J,classifier,pr_auc_mean,pr_auc_std,roc_auc_mean,roc_auc_std,sensitivity_mean,sensitivity_std,precision_mean,precision_std,specificity_mean,specificity_std,accuracy_mean,accuracy_std,f1_mean,f1_std,youden_j_mean,youden_j_std,youden_threshold_mean,youden_threshold_std
FPCA,3,linear_svm,0.614797143654036,0.04257205939352102,0.8376595864360271,0.019325448707283647,0.7534250321750322,0.045029333203048263,0.44858813669315395,0.036455093373136474,0.7683748013264525,0.03484483410638909,0.7653996447602132,0.02541189800819714,0.5609180842515588,0.029188550334554052,0.5217998335014847,0.04353465541633578,0.2638190954773869,0.012444318609734183
FPCA,3,lr,0.550247821259371,0.04603147386343087,0.8028154168033836,0.02171116273070783,0.6573857786357786,0.08514010157069131,0.44099329157308004,0.06598227550781474,0.7817563722700782,0.0735429174704009,0.7570870337477796,0.045387413769412646,0.5198405055596668,0.03244045264722157,0.4391421509058569,0.04423997515955153,0.4078391959798995,0.023358203740525774
FPCA,3,weighted_knn,0.5424232797660978,0.04226612624961013,0.7975139289927224,0.024590985684976804,0.7089414414414414,0.0581423840927152,0.43744060414277763,0.029151891488679717,0.7726551615878187,0.03370519735334953,0.7600355239786856,0.022118593087098945,0.53951204957212,0.026628305703738416,0.48159660302926005,0.046505494865045634,0.19989949748743718,0.024624057378509
FPCA,5,centroid,0.2998314570530989,0.02626262980882551,0.6494679098326843,0.023919861873024518,0.8661148648648649,0.030978119090675254,0.2600428999697098,0.009263777310033415,0.39034505425504773,0.02229402069726516,0.4846536412078153,0.017978203368407008,0.3999255087258549,0.013290208285748456,0.2564599191199126,0.03499321688201914,0.07366834170854272,0.007638541787926001
FPCA,5,knn,0.5181956574972646,0.03960731216009165,0.7868406770194218,0.024318196449202915,0.6216650579150579,0.07468971988211025,0.4934007428059834,0.05952235897257794,0.8334886093832781,0.07348486394332417,0.7915097690941386,0.048698626223844715,0.5448527845791653,0.041659909063466206,0.45515366729833595,0.051804407645754315,0.18532663316582915,0.05370780456832622
FPCA,5,linear_svm,0.6167425171086844,0.04257190323315938,0.8377963459484612,0.01942019008095392,0.7340444015444015,0.058501726697220764,0.45768864061103665,0.04800316394412409,0.7801123364009183,0.04321478765129608,0.7709769094138543,0.028938707502383573,0.5605606618413812,0.030289397521548276,0.5141567379453199,0.046572711683434985,0.2721608040201005,0.013896400439411745
FPCA,5,lr,0.5511400213114438,0.04613435594715286,0.803065554745082,0.021753033843247446,0.652221685971686,0.0815625491745298,0.4490869876271956,0.06724760118657581,0.7902255557953809,0.0728487752134705,0.7628419182948489,0.04553849568383914,0.5241468626184538,0.03416222636600503,0.4424472417670669,0.043626174781677796,0.41145728643216084,0.023758086669288234
FPCA,5,weighted_knn,0.5582765519845219,0.042835137153256736,0.788024910588854,0.024427132345404237,0.6599983912483913,0.06175677069490387,0.44686088274698255,0.04737694365873881,0.7927220728764006,0.05097159747391422,0.7664298401420959,0.03414748991516147,0.5296750811573749,0.03420162306891623,0.4527204641247918,0.047878115030117165,0.22793969849246232,0.036219057129759105
FPCA,10,centroid,0.2998912363152632,0.026267126129121122,0.6495738902394957,0.023931342334605296,0.865220398970399,0.030839399559348987,0.2605477112849814,0.009403930380172903,0.3926050271765791,0.020798682581198824,0.4862877442273535,0.01738939318734463,0.4004355317667748,0.013588651264041653,0.257825426146978,0.03580387968605527,0.07457286432160803,0.006761758414539336
FPCA,10,knn,0.53935176425357,0.040212938508674065,0.785201760426237,0.02278385805071933,0.6053877091377091,0.04236534498566797,0.5358629017521797,0.03495008907623113,0.8697840590232129,0.016155311199219126,0.8173712255772646,0.01477684753847834,0.5678052664258683,0.032364907949990904,0.47517176816092205,0.043943304683559115,0.20100502512562815,0.0
FPCA,10,linear_svm,0.629832159901863,0.04231025479080304,0.8418210169181463,0.018969854431037776,0.7371315958815958,0.06135311711529015,0.47541381328113774,0.05546560463992555,0.792923493514903,0.04683328089038175,0.781847246891652,0.030837182954004158,0.5739466616991432,0.03229095656120629,0.5300550893964988,0.046405831535452094,0.28291457286432165,0.01324669209421819
FPCA,10,lr,0.5547737532806667,0.046209771892578515,0.8042168057813968,0.02166013347994675,0.6538159588159589,0.08223068003889633,0.4511697460237464,0.07102556978968948,0.7899542805564822,0.07684681127873522,0.7629484902309059,0.04839400930887603,0.5254309844686922,0.03518448503744542,0.443770239372441,0.04304082173117572,0.412964824120603,0.023867376544029067
FPCA,10,weighted_knn,0.5829384069637197,0.04457979627913936,0.7877726687032213,0.02351451679249402,0.6103909266409266,0.048263904984695086,0.5241605753613761,0.041970227237132694,0.8609189019484724,0.029833865738762563,0.8112611012433392,0.02156607002417647,0.5622013288613765,0.03287816968683171,0.47130982858939907,0.0443918479039541,0.2907537688442211,0.04792062231035598
