split,method_family,J,classifier,pr_auc,roc_auc,youden_threshold,sensitivity,precision,specificity,accuracy,f1,youden_j
rep0_fold0,FPCA,3,centroid,0.3028784680938971,0.6487483058279517,0.07035175879396985,0.8738738738738738,0.26944444444444443,0.41814159292035397,0.5079928952042628,0.4118895966029724,0.29201546679422785
rep0_fold0,FPCA,3,knn,0.5591466108339997,0.8210356374073188,0.20100502512562815,0.6486486486486487,0.5714285714285714,0.8805309734513275,0.8348134991119005,0.6075949367088608,0.529179622099976
rep0_fold0,FPCA,3,weighted_knn,0.6003369960456117,0.8222514549948178,0.21105527638190955,0.7117117117117117,0.4876543209876543,0.8163716814159292,0.7957371225577264,0.5787545787545788,0.5280833931276407
rep0_fold0,FPCA,3,lr,0.5706253082411576,0.8100733476839672,0.4120603015075377,0.6396396396396397,0.45806451612903226,0.8141592920353983,0.7797513321492007,0.5338345864661654,0.45379893167503793
rep0_fold0,FPCA,3,linear_svm,0.6613718235157011,0.8650043849158893,0.2562814070351759,0.8378378378378378,0.45588235294117646,0.754424778761062,0.7708703374777975,0.5904761904761905,0.5922626165988998
rep0_fold0,FPLS,3,centroid,0.7033466108287327,0.8749900342820697,0.3417085427135678,0.8108108108108109,0.4945054945054945,0.7964601769911505,0.7992895204262878,0.6143344709897611,0.6072709878019613
rep0_fold0,FPLS,3,knn,0.7728615795176115,0.9087837837837838,0.20100502512562815,0.7927927927927928,0.6984126984126984,0.915929203539823,0.8916518650088809,0.7426160337552743,0.7087219963326157
rep0_fold0,FPLS,3,weighted_knn,0.8003780929400246,0.9103882643705653,0.30150753768844224,0.8018018018018018,0.6742424242424242,0.9048672566371682,0.8845470692717584,0.7325102880658436,0.7066690584389699
rep0_fold0,FPLS,3,lr,0.8442910483083998,0.9376146057561987,0.24120603015075376,0.8378378378378378,0.7209302325581395,0.9203539823008849,0.9040852575488455,0.775,0.7581918201387228
rep0_fold0,FPLS,3,linear_svm,0.8437166053880603,0.9357609822211592,0.25125628140703515,0.8288288288288288,0.7301587301587301,0.9247787610619469,0.9058614564831261,0.7763713080168776,0.7536075898907757
rep0_fold0,FPCA,5,centroid,0.30301718455951415,0.6487682372638125,0.07035175879396985,0.8738738738738738,0.26944444444444443,0.41814159292035397,0.5079928952042628,0.4118895966029724,0.29201546679422785
rep0_fold0,FPCA,5,knn,0.5587473136006497,0.8190624252571155,0.20100502512562815,0.6666666666666666,0.556390977443609,0.8694690265486725,0.8294849023090586,0.6065573770491803,0.5361356932153392
rep0_fold0,FPCA,5,weighted_knn,0.6058708911489804,0.822570357968588,0.22613065326633167,0.7027027027027027,0.5064935064935064,0.831858407079646,0.8063943161634103,0.5886792452830188,0.5345611097823486
rep0_fold0,FPCA,5,lr,0.5705856029157859,0.8101132105556885,0.4170854271356784,0.6396396396396397,0.4863013698630137,0.834070796460177,0.7957371225577264,0.5525291828793775,0.4737104360998168
rep0_fold0,FPCA,5,linear_svm,0.6623385511160842,0.8648250019931435,0.271356783919598,0.8108108108108109,0.4864864864864865,0.7898230088495575,0.7939609236234458,0.6081081081081081,0.6006338196603682
rep0_fold0,FPLS,5,centroid,0.7043469709735946,0.8754285258710037,0.35175879396984927,0.7927927927927928,0.5176470588235295,0.8185840707964602,0.8134991119005328,0.6263345195729537,0.6113768635892529
rep0_fold0,FPLS,5,knn,0.7973762682246596,0.9082854978872678,0.20100502512562815,0.7837837837837838,0.7131147540983607,0.922566371681416,0.8952042628774423,0.7467811158798283,0.7063501554651999
rep0_fold0,FPLS,5,weighted_knn,0.8223355091427667,0.9099597384995615,0.3768844221105528,0.7837837837837838,0.7767857142857143,0.9446902654867256,0.9129662522202486,0.7802690582959642,0.7284740492705093
rep0_fold0,FPLS,5,lr,0.9240992029091825,0.9526628398309813,0.23115577889447236,0.8828828828828829,0.8596491228070176,0.9646017699115044,0.9484902309058615,0.8711111111111111,0.8474846527943871
rep0_fold0,FPLS,5,linear_svm,0.9244525096379417,0.9523837997289324,0.23618090452261306,0.8738738738738738,0.8738738738738738,0.9690265486725663,0.9502664298401421,0.8738738738738738,0.8429004225464403
rep0_fold0,FPCA,10,centroid,0.3031483088604901,0.648907757314837,0.07035175879396985,0.8738738738738738,0.26944444444444443,0.41814159292035397,0.5079928952042628,0.4118895966029724,0.29201546679422785
rep0_fold0,FPCA,10,knn,0.6359592317072005,0.8462190066172368,0.20100502512562815,0.6756756756756757,0.6521739130434783,0.911504424778761,0.8650088809946714,0.6637168141592921,0.5871801004544368
rep0_fold0,FPCA,10,weighted_knn,0.6920498664953708,0.8559256158813682,0.2763819095477387,0.6756756756756757,0.6410256410256411,0.9070796460176991,0.8614564831261101,0.6578947368421053,0.5827553216933747
rep0_fold0,FPCA,10,lr,0.5805396898978832,0.8132025831140876,0.4170854271356784,0.6396396396396397,0.47333333333333333,0.8252212389380531,0.7886323268206039,0.5440613026819924,0.46486087857769265
rep0_fold0,FPCA,10,linear_svm,0.6925022249115966,0.8731563421828908,0.2864321608040201,0.8198198198198198,0.5112359550561798,0.8075221238938053,0.8099467140319716,0.629757785467128,0.627341943713625
rep0_fold0,FPLS,10,centroid,0.7043622957158485,0.8754285258710038,0.35678391959798994,0.7837837837837838,0.5272727272727272,0.827433628318584,0.8188277087033747,0.6304347826086957,0.6112174121023677
rep0_fold0,FPLS,10,knn,0.8039610829194478,0.9069500916846049,0.20100502512562815,0.7927927927927928,0.7333333333333333,0.9292035398230089,0.9023090586145648,0.7619047619047619,0.7219963326158017
rep0_fold0,FPLS,10,weighted_knn,0.8363575463634261,0.9103384357809137,0.36180904522613067,0.7837837837837838,0.75,0.9358407079646017,0.9058614564831261,0.7665198237885462,0.7196244917483856
rep0_fold0,FPLS,10,lr,0.9208635316477346,0.9526429083951209,0.24120603015075376,0.8558558558558559,0.8715596330275229,0.9690265486725663,0.9467140319715808,0.8636363636363636,0.8248824045284222
rep0_fold0,FPLS,10,linear_svm,0.9188013862651422,0.9511081878338515,0.24623115577889448,0.8558558558558559,0.8407079646017699,0.9601769911504425,0.9396092362344582,0.8482142857142857,0.8160328470062983
rep0_fold0,FPCA,15,centroid,0.3031613232724801,0.6490472773658615,0.07035175879396985,0.8738738738738738,0.26944444444444443,0.41814159292035397,0.5079928952042628,0.4118895966029724,0.29201546679422785
rep0_fold0,FPCA,15,knn,0.6167389693511932,0.8380072550426533,0.20100502512562815,0.6126126126126126,0.6017699115044248,0.9004424778761062,0.8436944937833037,0.6071428571428571,0.5130550904887188
rep0_fold0,FPCA,15,weighted_knn,0.6794103134715117,0.8472454755640597,0.37185929648241206,0.5945945945945946,0.6226415094339622,0.911504424778761,0.8490230905861457,0.6082949308755761,0.5060990193733557
rep0_fold0,FPCA,15,lr,0.583353641756614,0.8147173722394963,0.3919597989949749,0.7657657657657657,0.4146341463414634,0.7345132743362832,0.7406749555950266,0.5379746835443038,0.5002790401020489
rep0_fold0,FPCA,15,linear_svm,0.7056473888415825,0.8788766642748943,0.2914572864321608,0.8108108108108109,0.5232558139534884,0.8185840707964602,0.8170515097690941,0.6360424028268551,0.6293948816072712
rep0_fold0,FPLS,15,centroid,0.7043854324490856,0.875468388742725,0.35678391959798994,0.7837837837837838,0.5272727272727272,0.827433628318584,0.8188277087033747,0.6304347826086957,0.6112174121023677
rep0_fold0,FPLS,15,knn,0.8043445032292491,0.9108068245236387,0.20100502512562815,0.7927927927927928,0.7213114754098361,0.9247787610619469,0.8987566607460036,0.7553648068669528,0.7175715538547398
rep0_fold0,FPLS,15,weighted_knn,0.8371504120420311,0.9136570198517102,0.36683417085427134,0.7747747747747747,0.7478260869565218,0.9358407079646017,0.9040852575488455,0.7610619469026548,0.7106154827393765
rep0_fold0,FPLS,15,lr,0.9175230453767784,0.9531411942916368,0.21608040201005024,0.8918918918918919,0.717391304347826,0.9137168141592921,0.9094138543516874,0.7951807228915663,0.8056087060511841
rep0_fold0,FPLS,15,linear_svm,0.9143005694616525,0.95230407398549,0.24623115577889448,0.8378378378378378,0.8857142857142857,0.9734513274336283,0.9467140319715808,0.8611111111111112,0.8112891652714662
rep0_fold1,FPCA,1,centroid,0.2724050931946527,0.6114366578968349,0.010050251256281407,0.8558558558558559,0.2546916890080429,0.38495575221238937,0.477797513321492,0.3925619834710744,0.2408116080682452
rep0_fold1,FPCA,1,knn,0.24569061641872086,0.6031750777325999,0.20100502512562815,0.3963963963963964,0.29333333333333333,0.7654867256637168,0.6927175843694494,0.3371647509578544,0.16188312206011313
rep0_fold1,FPCA,1,weighted_knn,0.23946245719101023,0.5713445746631587,0.4472361809045226,0.1981981981981982,0.25287356321839083,0.8561946902654868,0.7264653641207816,0.2222222222222222,0.05439288846368506
rep0_fold1,FPCA,1,lr,0.2724050931946527,0.6114366578968349,0.010050251256281407,0.8558558558558559,0.2546916890080429,0.38495575221238937,0.477797513321492,0.3925619834710744,0.2408116080682452
rep0_fold1,FPCA,1,linear_svm,0.2724050931946527,0.6114366578968349,0.010050251256281407,0.8558558558558559,0.2546916890080429,0.38495575221238937,0.477797513321492,0.3925619834710744,0.2408116080682452
