wavelength,beta_logreg,beta_svm,abs_beta_logreg,abs_beta_svm
420.0,0.06884978162161749,0.02771426882597154,0.06884978162161749,0.02771426882597154
422.0,0.0803679782089352,0.033521221039349,0.0803679782089352,0.033521221039349
424.0,0.08936006017512833,0.03790515143541777,0.08936006017512833,0.03790515143541777
426.0,0.09277704202001952,0.03955868440120059,0.09277704202001952,0.03955868440120059
428.0,0.08658166710241394,0.036880103914047585,0.08658166710241394,0.036880103914047585
430.0,0.07054108603573052,0.03003954815755104,0.07054108603573052,0.03003954815755104
432.0,0.04489482148355965,0.01932120275320277,0.04489482148355965,0.01932120275320277
434.0,0.013401932003710855,0.006161591251058759,0.013401932003710855,0.006161591251058759
436.0,-0.013370434734991273,-0.005337262840661369,0.013370434734991273,0.005337262840661369
438.0,-0.028746331989331023,-0.012535763044695497,0.028746331989331023,0.012535763044695497
440.0,-0.03140379056940815,-0.01470996843668692,0.03140379056940815,0.01470996843668692
442.0,-0.0245272465003611,-0.012804220202693815,0.0245272465003611,0.012804220202693815
444.0,-0.013568581744681365,-0.008847268590303251,0.013568581744681365,0.008847268590303251
446.0,-0.0019542914614496375,-0.004198544010152178,0.0019542914614496375,0.004198544010152178
448.0,0.009001064015462312,0.0006096804393852389,0.009001064015462312,0.0006096804393852389
450.0,0.018984567464785593,0.005382875270850158,0.018984567464785593,0.005382875270850158
452.0,0.02852016689852023,0.0101674805192319,0.02852016689852023,0.0101674805192319
454.0,0.038546302193259455,0.015161266675762605,0.038546302193259455,0.015161266675762605
456.0,0.04913796133295515,0.02025665278001175,0.04913796133295515,0.02025665278001175
458.0,0.058769897335719926,0.024752926797092362,0.058769897335719926,0.024752926797092362
460.0,0.06549234474748017,0.027869406751255026,0.06549234474748017,0.027869406751255026
462.0,0.06828732228559463,0.029290336223715605,0.06828732228559463,0.029290336223715605
464.0,0.06682640952710943,0.028985934839488484,0.06682640952710943,0.028985934839488484
466.0,0.06120428066014021,0.02704744910490242,0.06120428066014021,0.02704744910490242
468.0,0.05233365918017982,0.023846821302384524,0.05233365918017982,0.023846821302384524
470.0,0.04191507893132067,0.020046955652314197,0.04191507893132067,0.020046955652314197
472.0,0.031789776708033686,0.0163528644973676,0.031789776708033686,0.0163528644973676
474.0,0.023452747868834372,0.013311186393058992,0.023452747868834372,0.013311186393058992
476.0,0.017931318019933428,0.011264311072807771,0.017931318019933428,0.011264311072807771
478.0,0.015617915868006134,0.010316620848562986,0.015617915868006134,0.010316620848562986
480.0,0.016005520053312516,0.010270455499639728,0.016005520053312516,0.010270455499639728
482.0,0.01771738163164782,0.010636673279261684,0.01771738163164782,0.010636673279261684
484.0,0.018898043810267263,0.010749935857466666,0.018898043810267263,0.010749935857466666
486.0,0.01773273990373697,0.009946736658920522,0.01773273990373697,0.009946736658920522
488.0,0.013054065660089506,0.007802073270847519,0.013054065660089506,0.007802073270847519
490.0,0.004840989625834233,0.004327122113485361,0.004840989625834233,0.004327122113485361
492.0,-0.005917410379671035,-9.074919394229503e-05,0.005917410379671035,9.074919394229503e-05
494.0,-0.017903631349367045,-0.004958577176972377,0.017903631349367045,0.004958577176972377
496.0,-0.030031394898242303,-0.00988872169747587,0.030031394898242303,0.00988872169747587
498.0,-0.04161930835377727,-0.014652925594747767,0.04161930835377727,0.014652925594747767
500.0,-0.052339193131057206,-0.019150346738400076,0.052339193131057206,0.019150346738400076
502.0,-0.0621069538786739,-0.023358399835002784,0.0621069538786739,0.023358399835002784
504.0,-0.07095398034459773,-0.02727981559190984,0.07095398034459773,0.02727981559190984
506.0,-0.07890207811504696,-0.03089361046156643,0.07890207811504696,0.03089361046156643
508.0,-0.08585978360554042,-0.0341159376960226,0.08585978360554042,0.0341159376960226
510.0,-0.09157274018185438,-0.0367852226042595,0.09157274018185438,0.0367852226042595
512.0,-0.09566020992303642,-0.038686435365094175,0.09566020992303642,0.038686435365094175
514.0,-0.09775751703378807,-0.03962340802814848,0.09775751703378807,0.03962340802814848
516.0,-0.09770841875465852,-0.039512311806690334,0.09770841875465852,0.039512311806690334
518.0,-0.09568535495615461,-0.038438332013085344,0.09568535495615461,0.038438332013085344
520.0,-0.09214786842569722,-0.03663406868250124,0.09214786842569722,0.03663406868250124
522.0,-0.08768388567637084,-0.03440105566069193,0.08768388567637084,0.03440105566069193
524.0,-0.08284998173046663,-0.032030176479870734,0.08284998173046663,0.032030176479870734
526.0,-0.07809021253832898,-0.029757975178279425,0.07809021253832898,0.029757975178279425
528.0,-0.07372689894489082,-0.027756613204777094,0.07372689894489082,0.027756613204777094
530.0,-0.06998279109896331,-0.02613906823862056,0.06998279109896331,0.02613906823862056
532.0,-0.06699913909003741,-0.024964945091389603,0.06699913909003741,0.024964945091389603
534.0,-0.0648440014067131,-0.024244734250377584,0.0648440014067131,0.024244734250377584
536.0,-0.06351020196024647,-0.023942456520077364,0.06351020196024647,0.023942456520077364
538.0,-0.06291661385898788,-0.02398137675842701,0.06291661385898788,0.02398137675842701
540.0,-0.06291870308888849,-0.024254474203168265,0.06291870308888849,0.024254474203168265
542.0,-0.06333275987624107,-0.02464109835512033,0.06333275987624107,0.02464109835512033
