source_id,idx,flux,flux_error,wavelength
2117325697617090304,141,9.836167e-17,7.3995075e-19,
2117325697617090304,142,9.7780875e-17,7.193506e-19,
2117325697617090304,143,9.7495305e-17,7.0233186e-19,
2117325697617090304,144,9.7831445e-17,6.9093575e-19,
2117325697617090304,145,9.814262e-17,6.8009513e-19,
2117325697617090304,146,9.858876e-17,6.706272e-19,
2117325697617090304,147,9.9112e-17,6.6205577e-19,
2117325697617090304,148,9.942326e-17,6.52762e-19,
2117325697617090304,149,9.978163e-17,6.451434e-19,
2117325697617090304,150,9.945677e-17,5.87162e-19,
2117325697617090304,151,9.8379416e-17,6.5975683e-19,
2117325697617090304,152,9.720648e-17,9.314532e-19,
2117325697617090304,153,9.6749314e-17,1.3950425e-18,
2117325697617090304,154,9.477361e-17,1.6459495e-18,
2117325697617090304,155,9.2720925e-17,1.5978424e-18,
2117325697617090304,156,9.1880417e-17,1.6069228e-18,
2117325697617090304,157,9.215193e-17,1.6366626e-18,
2117325697617090304,158,9.252805e-17,1.5845437e-18,
2117325697617090304,159,9.249537e-17,1.5487408e-18,
2117325697617090304,160,9.212351e-17,1.5853202e-18,
2117325697617090304,161,9.197117e-17,1.56055e-18,
2117325697617090304,162,9.2493834e-17,1.4758019e-18,
2117325697617090304,163,9.3494974e-17,1.476564e-18,
2117325697617090304,164,9.4328964e-17,1.504486e-18,
2117325697617090304,165,9.435071e-17,1.4338644e-18,
2117325697617090304,166,9.3682406e-17,1.3728125e-18,
2117325697617090304,167,9.2717954e-17,1.4105925e-18,
2117325697617090304,168,9.17974e-17,1.3969874e-18,
2117325697617090304,169,9.1255055e-17,1.2971195e-18,
2117325697617090304,170,9.142003e-17,1.2891541e-18,
2117325697617090304,171,9.1605674e-17,1.3473265e-18,
2117325697617090304,172,9.15806e-17,1.2936948e-18,
2117325697617090304,173,9.1265166e-17,1.1968702e-18,
2117325697617090304,174,9.066137e-17,1.2377802e-18,
2117325697617090304,175,9.011274e-17,1.2903545e-18,
2117325697617090304,176,8.9902826e-17,1.2014316e-18,
2117325697617090304,177,8.9912766e-17,1.1248115e-18,
2117325697617090304,178,8.974382e-17,1.2004984e-18,
2117325697617090304,179,8.949863e-17,1.2295536e-18,
2117325697617090304,180,8.873111e-17,1.1069502e-18,
2117325697617090304,181,8.770019e-17,1.0538648e-18,
2117325697617090304,182,8.670071e-17,1.1623307e-18,
2117325697617090304,183,8.6387104e-17,1.1820251e-18,
2117325697617090304,184,8.641157e-17,1.0436179e-18,
2117325697617090304,185,8.6844395e-17,1.0049218e-18,
2117325697617090304,186,8.742539e-17,1.1331865e-18,
2117325697617090304,187,8.7458005e-17,1.1502715e-18,
2117325697617090304,188,8.694339e-17,1.0060135e-18,
2117325697617090304,189,8.605638e-17,9.647247e-19,
2117325697617090304,190,8.519545e-17,1.1019717e-18,
2117325697617090304,191,8.4577656e-17,1.1361846e-18,
2117325697617090304,192,8.416339e-17,9.929898e-19,
2117325697617090304,193,8.431484e-17,9.273201e-19,
2117325697617090304,194,8.4311e-17,1.0570985e-18,
2117325697617090304,195,8.4181675e-17,1.1188838e-18,
2117325697617090304,196,8.4055235e-17,9.98176e-19,
2117325697617090304,197,8.3635365e-17,8.897521e-19,
2117325697617090304,198,8.306237e-17,9.863895e-19,
2117325697617090304,199,8.265955e-17,1.0843721e-18,
2117325697617090304,200,8.261262e-17,1.0108581e-18,
2117325697617090304,201,8.253631e-17,8.742966e-19,
2117325697617090304,202,8.237069e-17,9.085515e-19,
2117325697617090304,203,8.2088114e-17,1.0341437e-18,
2117325697617090304,204,8.1478005e-17,1.032325e-18,
2117325697617090304,205,8.0754275e-17,9.067365e-19,
2117325697617090304,206,8.003544e-17,8.554593e-19,
2117325697617090304,207,7.9774615e-17,9.577802e-19,
2117325697617090304,208,7.9721834e-17,1.0253228e-18,
2117325697617090304,209,8.014249e-17,9.616768e-19,
2117325697617090304,210,8.049385e-17,8.5887094e-19,
2117325697617090304,211,8.0871926e-17,8.750323e-19,
2117325697617090304,212,8.1071376e-17,9.656381e-19,
2117325697617090304,213,8.079988e-17,9.850975e-19,
2117325697617090304,214,8.0338825e-17,9.15463e-19,
2117325697617090304,215,7.9881963e-17,8.578994e-19,
2117325697617090304,216,7.949368e-17,8.8934e-19,
2117325697617090304,217,7.943801e-17,9.506864e-19,
2117325697617090304,218,7.9323074e-17,9.552984e-19,
2117325697617090304,219,7.918226e-17,9.086589e-19,
2117325697617090304,220,7.904603e-17,8.778203e-19,
2117325697617090304,221,7.874644e-17,8.994302e-19,
2117325697617090304,222,7.826303e-17,9.389924e-19,
2117325697617090304,223,7.7516266e-17,9.478249e-19,
2117325697617090304,224,7.70654e-17,9.238456e-19,
2117325697617090304,225,7.667868e-17,8.912812e-19,
2117325697617090304,226,7.643941e-17,8.847527e-19,
2117325697617090304,227,7.6385365e-17,9.107438e-19,
2117325697617090304,228,7.633707e-17,9.388598e-19,
2117325697617090304,229,7.630467e-17,9.363991e-19,
2117325697617090304,230,7.613965e-17,8.978582e-19,
2117325697617090304,231,7.566236e-17,8.580349e-19,
2117325697617090304,232,7.5159106e-17,8.6514246e-19,
2117325697617090304,233,7.453166e-17,9.086691e-19,
2117325697617090304,234,7.394377e-17,9.319259e-19,
2117325697617090304,235,7.3689266e-17,9.012769e-19,
2117325697617090304,236,7.351405e-17,8.3983715e-19,
2117325697617090304,237,7.3425554e-17,8.194744e-19,
2117325697617090304,238,7.339657e-17,8.676551e-19,
2117325697617090304,239,7.3040154e-17,9.187775e-19,
2117325697617090304,240,7.289661e-17,9.143835e-19,
2117325697617090304,241,7.2376246e-17,8.484296e-19,
2117325697617090304,242,7.1860436e-17,7.9729416e-19,
2117325697617090304,243,7.1139994e-17,8.2610564e-19,
2117325697617090304,244,7.052585e-17,8.997945e-19,
2117325697617090304,245,7.024757e-17,9.31292e-19,
2117325697617090304,246,7.013282e-17,8.820508e-19,
2117325697617090304,247,7.013934e-17,7.9961094e-19,
2117325697617090304,248,7.0282625e-17,7.8208097e-19,
2117325697617090304,249,7.026607e-17,8.525609e-19,
2117325697617090304,250,7.0200264e-17,9.266608e-19,
2117325697617090304,251,7.0174145e-17,9.282123e-19,
2117325697617090304,252,6.9689146e-17,8.4872184e-19,
2117325697617090304,253,6.9141235e-17,7.694733e-19,
2117325697617090304,254,6.8147665e-17,7.7839324e-19,
2117325697617090304,255,6.76589e-17,8.682567e-19,
2117325697617090304,256,6.7199915e-17,9.335302e-19,
2117325697617090304,257,6.6872225e-17,9.159369e-19,
2117325697617090304,258,6.641094e-17,8.3203487e-19,
2117325697617090304,259,6.616099e-17,7.7291307e-19,
2117325697617090304,260,6.590929e-17,8.0817e-19,
2117325697617090304,261,6.5726044e-17,8.976496e-19,
2117325697617090304,262,6.531252e-17,9.462652e-19,
2117325697617090304,263,6.477277e-17,9.129212e-19,
2117325697617090304,264,6.4358946e-17,8.3057076e-19,
2117325697617090304,265,6.402329e-17,7.8263745e-19,
2117325697617090304,266,6.42351e-17,8.334011e-19,
2117325697617090304,267,6.39304e-17,9.195808e-19,
2117325697617090304,268,6.443096e-17,9.723951e-19,
2117325697617090304,269,6.4833086e-17,9.415285e-19,
2117325697617090304,270,6.548997e-17,8.612209e-19,
2117325697617090304,271,6.6158355e-17,8.0764436e-19,
2117325697617090304,272,6.7054596e-17,8.4580117e-19,
